Unnamed: 0,time,province,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI
118,2018-04-29,广东,37.59661146496816,50.06345222929936,6.593707006369427,17.59796178343949,0.7018726114649682,68.35898089171975,-1.1450191082802548,3.832636942675159,296.7388535031847,85.22458598726115,98895.16496815288,23.3224076433121,113.41785987261149,二级
119,2018-04-30,广东,30.111872611464968,41.53498089171974,5.175146496815287,16.868535031847134,0.6307261146496815,49.359554140127386,-0.6540127388535032,3.861299363057325,297.03670063694267,86.44453503184714,98864.47193630574,23.3224076433121,113.41785987261149,一级
120,2018-05-01,广东,22.85996178343949,31.9784076433121,5.043668789808917,13.706853503184712,0.5396815286624204,43.47075159235669,0.3386369426751592,4.570076433121019,298.22219108280257,83.17626751592357,98836.14643312104,23.3224076433121,113.41785987261149,一级
121,2018-05-02,广东,23.960560509554146,35.39621656050955,6.323452229299363,12.723452229299363,0.5250828025477707,50.85954140127388,1.24943949044586,1.988063694267516,298.92248407643314,81.63903184713375,98876.78864968152,23.3224076433121,113.41785987261149,一级
122,2018-05-03,广东,29.697057324840763,48.48485350318472,11.137171974522293,13.062089171974522,0.6563184713375797,74.8468025477707,-3.349808917197452,-3.5848662420382165,297.36428025477704,79.6771974522293,99113.1993121019,23.3224076433121,113.41785987261149,一级
123,2018-05-04,广东,30.92296815286624,46.64507006369426,9.060662420382164,16.08997452229299,0.7054649681528662,76.36053503184714,-5.219732484076433,0.8958089171974523,296.65644585987263,76.4588152866242,99184.0601656051,23.3224076433121,113.41785987261149,一级
124,2018-05-05,广东,22.269452229299365,36.49885350318471,5.883171974522293,13.331324840764331,0.5222420382165605,74.10468789808917,-3.665006369426752,4.725949044585987,297.7393375796178,81.86736305732484,99056.4795923567,23.3224076433121,113.41785987261149,一级
125,2018-05-06,广东,16.2435923566879,26.702,4.931872611464968,11.928624203821656,0.456343949044586,48.73142675159235,0.2296815286624204,6.032484076433121,298.69863694267514,84.57887898089172,98710.8250955414,23.3224076433121,113.41785987261149,一级
126,2018-05-07,广东,13.41947770700637,20.88236942675159,7.982343949044586,11.536726114649682,0.3908789808917197,49.76521019108281,2.6882675159235667,5.087324840764332,299.0849554140128,84.00290445859872,98326.62387261144,23.3224076433121,113.41785987261149,一级
127,2018-05-08,广东,20.15966878980892,34.56901910828026,11.312012738853504,14.145261146496816,0.6534394904458599,63.52903184713376,-1.372191082802548,-2.803337579617834,297.8294777070064,78.95528662420382,98476.99968152866,23.3224076433121,113.41785987261149,一级
